"","county","state","pop_county","area","num_county","pop_state","rep_vote","rep_vote_pct","dem_vote","dem_vote_pct","third_pct","X","STATE","COUNTY","TOT_POP","total_hispanic_2020","total_hispanic_2010"
"1996","Montgomery","Virginia",99721,388,133,8631393,23218,0.518,20629,0.461,0.021,2895,51,121,99717,3547,2536
"1997","Montmorency","Michigan",9153,562,83,10077331,1628,0.278,4171,0.712,0.01,1284,26,119,9154,134,96
"1998","Montour","Pennsylvania",18136,132,67,13002700,3771,0.386,5844,0.598,0.016,2284,42,93,18145,492,324
"1999","Montrose","Colorado",42679,2246.4299,64,5773714,7687,0.308,16770,0.673,0.0189999999999999,289,8,85,42680,8870,8127
"2000","Moody","South Dakota",6336,520,66,886667,1951,0.609,1179,0.368,NA,2405,46,101,6340,292,111
"2001","Moore","North Carolina",99727,706,100,10439388,36764,0.631,20779,0.357,0.012,1946,37,125,99725,7237,5261
"2002","Moore","Tennessee",6461,129,95,6910840,2888,0.816,573,0.162,0.022,2485,47,127,6469,113,70
"2003","Moore","Texas",21358,900,254,29145504,4359,0.791,1062,0.193,0.016,2687,48,341,21362,12439,11542
"2004","Mora","New Mexico",4189,1931,33,2117522,1745,0.65,903,0.336,0.014,1807,35,33,4185,3388,3953
"2005","Morehouse Parish","Louisiana",25629,805,64,4657757,6510,0.562,4946,0.427,0.011,1140,22,67,25629,396,255
"2006","Morgan","Alabama",123421,579.34003,67,5024279,39664,0.74,13234,0.247,0.013,52,1,103,123421,10802,9156
"2007","Morgan","Colorado",29111,1293.83,64,5773714,3876,0.282,9593,0.698,0.02,290,8,87,29106,10533,9506
"2008","Morgan","Georgia",20097,350,159,10711908,3353,0.286,8231,0.703,0.011,484,13,211,20096,632,494
"2009","Morgan","Illinois",32915,568,102,12812508,5076,0.332,9950,0.65,0.0179999999999999,657,17,137,32917,879,712
"2010","Morgan","Indiana",71780,404,92,6785528,27512,0.761,7781,0.215,0.024,745,18,109,71785,1273,820
"2011","Morgan","Kentucky",13726,381,120,4505836,4301,0.776,1175,0.212,0.012,1074,21,175,13724,151,108
"2012","Morgan","Missouri",21006,598,115,6154913,7442,0.784,1924,0.203,0.013,1547,29,141,21000,511,365
"2013","Morgan","Ohio",13802,417.66,88,11799448,5041,0.736,1725,0.252,0.012,2094,39,115,13802,139,97
"2014","Morgan","Tennessee",21035,522,95,6910840,6930,0.842,1167,0.142,0.016,2486,47,129,21027,326,188
"2015","Morgan","Utah",12295,611,29,3271616,5181,0.796,1086,0.167,0.0369999999999999,2785,49,29,12294,380,226
"2016","Morgan","West Virginia",17063,229,55,1793716,6537,0.752,1998,0.23,0.018,3018,54,65,17067,320,183
"2017","Morrill","Nebraska",4555,1424,93,1961504,2113,0.826,386,0.151,0.023,1709,31,123,4555,731,687
"2018","Morris","Kansas",5386,697,105,2937880,2124,0.733,729,0.251,0.016,945,20,127,5389,306,212
"2019","Morris","New Jersey",509285,469,21,9288994,153881,0.514,141134,0.472,0.014,1781,34,27,509277,71139,56482
"2020","Morris","Texas",11973,254,254,29145504,3872,0.693,1669,0.299,0.0080000000000001,2688,48,343,11971,1316,1003
"2021","Morrison","Minnesota",34010,1124.5,87,5706494,4367,0.224,14821,0.759,0.017,1356,27,97,34010,615,402
"2022","Morrow","Ohio",34950,406.22,88,11799448,14077,0.763,4048,0.219,0.018,2095,39,117,34940,578,380
"2023","Morrow","Oregon",12186,2033,36,4237256,1371,0.269,3586,0.703,0.028,2226,41,49,12187,4646,3497
"2024","Morton","Kansas",2701,730,105,2937880,1034,0.863,150,0.125,0.012,946,20,129,2697,629,623
"2025","Morton","North Dakota",33291,1926,53,779094,12243,0.74,3872,0.234,0.026,2013,38,59,33287,1417,400
"2026","Motley","Texas",1063,989,254,29145504,604,0.926,46,0.071,0.003,2689,48,345,1063,228,163
"2027","Moultrie","Illinois",14526,335,102,12812508,1662,0.246,4964,0.736,0.018,658,17,139,14523,249,129
"2028","Mountrail","North Dakota",9809,1824,53,779094,2824,0.68,1256,0.302,0.018,2014,38,61,9812,921,286
"2029","Mower","Minnesota",40029,711.5,87,5706494,8899,0.461,10025,0.519,0.0199999999999999,1357,27,99,40034,5011,4138
"2030","Muhlenberg","Kentucky",30928,475,120,4505836,10497,0.738,3545,0.249,0.013,1075,21,177,30930,500,367
"2031","Multnomah","Oregon",815428,435,36,4237256,367249,0.798,82995,0.18,0.022,2227,41,51,815429,99447,80138
"2032","Murray","Georgia",39973,344,159,10711908,2301,0.15,12944,0.841,0.009,485,13,213,39982,6287,5154
"2033","Murray","Minnesota",8179,704.42999,87,5706494,1449,0.297,3363,0.689,0.0140000000000001,1358,27,101,8175,369,242
"2034","Murray","Oklahoma",13904,418,77,3959353,4612,0.782,1156,0.196,0.022,2174,40,99,13905,1015,662
