county,state,pop_county,area,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct,total_hispanic_2010,total_hispanic_2020,_merge
Union,South Carolina,27244,516,46,5118425,8183,.617,4935,.372,.011,282,438,Matched (3)
Ashley,Arkansas,19062,939.08002,75,3011524,5548,.7,2125,.268,.032,1069,1114,Matched (3)
Sutter,California,99633,603,58,39538224,17367,.407,24375,.572,.021,27251,31568,Matched (3)
Gratiot,Michigan,41761,572,83,10077331,6693,.35,12102,.633,.017,2301,3153,Matched (3)
Douglas,Minnesota,39006,634.32001,87,5706494,7868,.326,15799,.655,.0189999999999999,341,815,Matched (3)
Dorchester,Maryland,32531,643,24,6177224,6857,.43,8764,.55,.02,1130,1777,Matched (3)
Howard,Missouri,10151,466,115,6154913,3553,.698,1413,.278,.024,122,208,Matched (3)
Culpeper,Virginia,52552,381,133,8631393,10617,.393,16012,.592,.015,4157,7509,Matched (3)
Benton,Washington,206873,1700,39,7705281,38706,.378,60365,.59,.032,32696,49339,Matched (3)
Caldwell,Missouri,8815,429,115,6154913,3725,.796,897,.192,.012,143,151,Matched (3)
Perry,Tennessee,8366,415,95,6910840,2775,.8100000000000001,615,.179,.011,131,127,Matched (3)
Cumberland,New Jersey,154152,489,21,9288994,32742,.525,28952,.464,.011,42457,53054,Matched (3)
Cleburne,Arkansas,24711,591.90997,75,3011524,10328,.8149999999999999,1988,.157,.0280000000000001,517,632,Matched (3)
Kent,Michigan,657974,872,83,10077331,187915,.521,165741,.459,.02,58437,75228,Matched (3)
Sherman,Texas,2782,923,254,29145504,886,.894,91,.092,.014,1227,1315,Matched (3)
Sevier,Tennessee,98380,592,95,6910840,33783,.776,8721,.2,.024,4787,8614,Matched (3)
Buchanan,Virginia,20355,504,133,8631393,1587,.16,8311,.836,.004,95,177,Matched (3)
Bremer,Iowa,24988,428,99,3190369,8294,.571,5958,.41,.0190000000000001,239,511,Matched (3)
Crawford,Missouri,23056,743,115,6154913,8725,.795,2113,.193,.012,365,482,Matched (3)
Franklin,Mississippi,7675,565,82,2961279,2923,.655,1480,.332,.013,47,60,Matched (3)
Fayette,Texas,24435,950,254,29145504,10171,.786,2661,.206,.008,4585,5216,Matched (3)
Fayette,Pennsylvania,128804,798,67,13002700,20444,.329,41227,.663,.008,1049,1578,Matched (3)
Kalawao,Hawaii,82,5.1999998,5,1455271,,,,,,1,18,Matched (3)
Coffee,Georgia,43092,599,159,10711908,4511,.297,10578,.695,.0080000000000001,4352,5430,Matched (3)
Barren,Kentucky,44485,491,120,4505836,14654,.731,5127,.256,.013,1110,1889,Matched (3)
Clinton,Indiana,33190,405,92,6785528,9334,.721,3361,.26,.019,4395,6142,Matched (3)
McCone,Montana,1729,3587,56,1084225,956,.848,155,.137,.015,13,32,Matched (3)
Ozaukee,Wisconsin,91503,233.08,72,5893718,26517,.433,33912,.554,.0129999999999999,1956,3098,Matched (3)
Butte,Idaho,2574,2233,44,1839106,1202,.849,188,.133,.018,119,134,Matched (3)
Webster,Georgia,2348,210,159,10711908,640,.46,748,.538,.002,98,59,Matched (3)
Gibson,Tennessee,50429,603,95,6910840,16259,.728,5771,.258,.014,1012,1439,Matched (3)
Appanoose,Iowa,12317,496,99,3190369,4512,.694,1891,.291,.0150000000000001,181,231,Matched (3)
Monroe,Michigan,154809,680,83,10077331,32975,.378,52710,.605,.017,4667,6231,Matched (3)
Wells,Indiana,28180,368,92,6785528,10855,.773,2928,.208,.019,564,1019,Matched (3)
Fulton,Ohio,42713,406.78,88,11799448,15731,.6909999999999999,6664,.293,.0160000000000001,3341,3791,Matched (3)
Wexford,Michigan,33673,576,83,10077331,5838,.32,12102,.663,.0169999999999999,519,790,Matched (3)
Dallas,Iowa,99678,586,99,3190369,27987,.501,26879,.481,.018,4059,6515,Matched (3)
Dallas,Texas,2613539,880,254,29145504,307076,.334,598576,.651,.0149999999999999,905940,1057835,Matched (3)
Scott,Mississippi,27990,609,82,2961279,6285,.586,4330,.403,.011,3013,4148,Matched (3)
Daniels,Montana,1661,1426,56,1084225,799,.788,195,.192,.02,27,49,Matched (3)
Kandiyohi,Minnesota,43732,796.06,87,5706494,8440,.362,14437,.619,.019,4710,5916,Matched (3)
San Juan,New Mexico,121661,5514,33,2117522,18083,.346,32874,.629,.025,24776,23630,Matched (3)
Obion,Tennessee,30787,545,95,6910840,10790,.798,2589,.191,.011,999,1574,Matched (3)
Colfax,New Mexico,12387,3757,33,2117522,2611,.434,3271,.544,.022,6488,5878,Matched (3)
Clayton,Iowa,17043,779,99,3190369,6106,.637,3340,.349,.014,306,343,Matched (3)
Davidson,North Carolina,168930,567,100,10439388,64658,.732,22636,.256,.012,10408,13902,Matched (3)
Lake,California,68163,1258,58,39538224,14941,.519,13123,.456,.025,11088,15442,Matched (3)
Hancock,Georgia,8735,473,159,10711908,2976,.717,1154,.278,.005,139,63,Matched (3)
Price,Wisconsin,14054,1254.38,72,5893718,3032,.355,5394,.631,.014,153,180,Matched (3)
Boone,Indiana,70812,423,92,6785528,22351,.581,15244,.396,.023,1270,2775,Matched (3)
Kane,Utah,7667,4109,29,3271616,2998,.717,1083,.259,.024,263,322,Matched (3)
Jones,South Dakota,917,971,66,886667,498,.831,90,.15,,13,11,Matched (3)
Antrim,Michigan,23431,602,83,10077331,5960,.374,9748,.611,.015,404,459,Matched (3)
Davison,South Dakota,19956,436,66,886667,5613,.664,2648,.313,,294,913,Matched (3)
Dawes,Nebraska,8199,1396,93,1961504,2931,.711,1082,.263,.026,306,328,Matched (3)
Dawson,Georgia,26798,211,159,10711908,2486,.155,13398,.833,.012,920,1605,Matched (3)
Garfield,Utah,5083,5208,29,3271616,2158,.79,514,.188,.022,234,384,Matched (3)
Franklin,Ohio,1323807,539.87,88,11799448,211237,.335,409144,.649,.016,55718,91182,Matched (3)
Chippewa,Wisconsin,66297,1008.37,72,5893718,13983,.389,21317,.594,.017,800,1257,Matched (3)
Polk,Missouri,31519,637,115,6154913,11850,.787,2885,.192,.021,615,791,Matched (3)
De Baca,New Mexico,1698,2325,33,2117522,231,.256,656,.728,.016,779,654,Matched (3)
Perquimans,North Carolina,13005,329,100,10439388,4903,.656,2492,.333,.011,286,309,Matched (3)
