county,state,pop_county,area,num_county,pop_state
Appling,Georgia,18444,509,159,10711908
Atkinson,Georgia,8286,338,159,10711908
Bacon,Georgia,11140,285,159,10711908
Baker,Georgia,2876,343,159,10711908
Baldwin,Georgia,43799,258,159,10711908
Banks,Georgia,18035,234,159,10711908
Barrow,Georgia,83505,162,159,10711908
Bartow,Georgia,108901,460,159,10711908
Ben Hill,Georgia,17194,252,159,10711908
Berrien,Georgia,18160,452,159,10711908
Bibb,Georgia,157346,250,159,10711908
Bleckley,Georgia,12583,217,159,10711908
Brantley,Georgia,18021,444,159,10711908
Brooks,Georgia,16301,494,159,10711908
Bryan,Georgia,44738,442,159,10711908
Bulloch,Georgia,81099,683,159,10711908
Burke,Georgia,24596,831,159,10711908
Butts,Georgia,25434,187,159,10711908
Calhoun,Georgia,5573,280,159,10711908
Camden,Georgia,54768,630,159,10711908
Candler,Georgia,10981,247,159,10711908
Carroll,Georgia,119148,499,159,10711908
Catoosa,Georgia,67872,162,159,10711908
Charlton,Georgia,12518,781,159,10711908
Chatham,Georgia,295291,440,159,10711908
Chattahoochee,Georgia,9565,249,159,10711908
Chattooga,Georgia,24965,314,159,10711908
Cherokee,Georgia,266620,424,159,10711908
Clarke,Georgia,128671,121,159,10711908
Clay,Georgia,2848,195,159,10711908
Clayton,Georgia,297595,195,159,10711908
Clinch,Georgia,6749,809,159,10711908
Cobb,Georgia,766149,340,159,10711908
Coffee,Georgia,43092,599,159,10711908
Colquitt,Georgia,45898,552,159,10711908
Columbia,Georgia,156010,290,159,10711908
Cook,Georgia,17229,229,159,10711908
Coweta,Georgia,146158,443,159,10711908
Crawford,Georgia,12130,325,159,10711908
Crisp,Georgia,20128,274,159,10711908
Dade,Georgia,16251,174,159,10711908
Dawson,Georgia,26798,211,159,10711908
Decatur,Georgia,29367,597,159,10711908
DeKalb,Georgia,764382,268,159,10711908
Dodge,Georgia,19925,501,159,10711908
Dooly,Georgia,11208,393,159,10711908
Dougherty,Georgia,85790,330,159,10711908
Douglas,Georgia,144237,199,159,10711908
Early,Georgia,10854,511,159,10711908
Echols,Georgia,3697,404,159,10711908
Effingham,Georgia,64769,480,159,10711908
Elbert,Georgia,19637,369,159,10711908
Emanuel,Georgia,22768,686,159,10711908
Evans,Georgia,10774,185,159,10711908
Fannin,Georgia,25319,386,159,10711908
Fayette,Georgia,119194,197,159,10711908
Floyd,Georgia,98584,513,159,10711908
Forsyth,Georgia,251283,226,159,10711908
Franklin,Georgia,23424,263,159,10711908
Fulton,Georgia,1066710,529,159,10711908
Gilmer,Georgia,31353,427,159,10711908
Glascock,Georgia,2884,144,159,10711908
Glynn,Georgia,84499,422,159,10711908
Gordon,Georgia,57544,355,159,10711908
