county,state,pop_county,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct,total_hispanic_2010,total_hispanic_2020
Logan,West Virginia,32567,55,1793716,10534,.8090000000000001,2333,.179,.012,258,224
Lincoln,West Virginia,20463,55,1793716,6012,.768,1711,.219,.013,96,171
Mercer,West Virginia,59664,55,1793716,19237,.765,5556,.221,.014,480,705
Monroe,West Virginia,12376,55,1793716,5068,.781,1345,.207,.012,83,94
Tucker,West Virginia,6762,55,1793716,2841,.739,938,.244,.017,41,56
Lewis,West Virginia,17033,55,1793716,5782,.775,1538,.206,.019,104,191
Doddridge,West Virginia,7808,55,1793716,2619,.845,435,.14,.015,39,77
Wirt,West Virginia,5194,55,1793716,2134,.804,466,.176,.02,26,22
Monongalia,West Virginia,105822,55,1793716,20803,.494,20282,.482,.024,1692,3308
Hancock,West Virginia,29095,55,1793716,9806,.711,3790,.275,.014,314,424
Putnam,West Virginia,57440,55,1793716,20034,.703,7878,.276,.021,484,811
Mineral,West Virginia,26938,55,1793716,10040,.78,2660,.207,.013,202,309
McDowell,West Virginia,19111,55,1793716,5148,.789,1333,.204,.007,91,390
Brooke,West Virginia,22559,55,1793716,7545,.708,2947,.277,.015,163,287
Hardy,West Virginia,14299,55,1793716,4859,.767,1381,.218,.015,478,659
Gilmer,West Virginia,7408,55,1793716,2012,.756,599,.225,.019,493,244
Mingo,West Virginia,23568,55,1793716,8544,.853,1397,.139,.008,119,164
Harrison,West Virginia,65921,55,1793716,20683,.679,9215,.302,.019,883,1403
Cabell,West Virginia,94350,55,1793716,21721,.581,14994,.401,.018,1046,1562
Boone,West Virginia,21809,55,1793716,6816,.756,2041,.226,.018,97,133
Barbour,West Virginia,15465,55,1793716,5116,.766,1457,.218,.016,96,192
Raleigh,West Virginia,74591,55,1793716,24673,.745,7982,.241,.014,996,1197
Wayne,West Virginia,38982,55,1793716,12585,.743,4088,.241,.016,218,319
Morgan,West Virginia,17063,55,1793716,6537,.752,1998,.23,.018,183,236
Pendleton,West Virginia,6143,55,1793716,2782,.76,820,.224,.016,71,57
Wetzel,West Virginia,14442,55,1793716,4993,.749,1539,.231,.02,83,148
Summers,West Virginia,11959,55,1793716,4074,.729,1448,.259,.012,189,185
Pocahontas,West Virginia,7869,55,1793716,2895,.722,1047,.261,.017,68,107
Grant,West Virginia,10976,55,1793716,4871,.884,607,.11,.006,120,91
Preston,West Virginia,34216,55,1793716,11190,.768,3163,.217,.015,229,695
Mason,West Virginia,25453,55,1793716,8491,.758,2526,.225,.017,119,170
Ritchie,West Virginia,8444,55,1793716,3649,.852,586,.137,.011,55,80
Caribou,Idaho,7027,44,1839106,2906,.851,431,.126,.023,336,384
Elmore,Idaho,28666,44,1839106,7246,.71,2601,.255,.035,4118,5097
Twin Falls,Idaho,90046,44,1839106,25897,.709,9391,.257,.034,10570,15210
Latah,Idaho,39517,44,1839106,9472,.46,10236,.498,.042,1326,2073
Clearwater,Idaho,8734,44,1839106,3453,.781,877,.198,.021,268,300
Boise,Idaho,7610,44,1839106,3485,.723,1204,.25,.027,249,324
